Country,Country code,Type of regulation,Law on lobbying (national),Register,Register Oversight,Code of conduct,Definition of lobbyist,Definition of lobby activity,State actor target,Cooling-off,Periodical declarations,Transparency on meetings,Sanctions limiting lobbying activity,Tribunal sanctions, Distance Year / 2019,Judicial Independence (IPI),Administrative Burden (IPI),Trade Openness (IPI),Budget Transparency (IPI),E-Citizenship (IPI),Freedom of the Press (IPI),CPI 2019,Trust in government (2019)
Austria,AUT,1,1,1,0.66,0.66,0.1,0.4,1,0,0.108,0,1,0.33,1,8.399968147,8.620684624,10,7.428571701,7.264517784,8.463414192,77,51.2338260131346
Belgium,BEL,0.75,0,1,0.66,1,1,0.6,0.16,0,0,0,0,0,0,8.531863213,9.306464195,10,6.792142391,8.471891403,9.560975075,75,32.7901154348457
Denmark,DNK,0.25,0,0,0,0.66,0,0,0,0,0,1,0,0,0,9.240395546,9.353919983,10,9.357142448,9.452002525,9.560975075,87,63.2999031726247
Estonia,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.002447128,9.823594093,9.988653183,8.071428299,7.691384792,9.121951103,74,40.3306536840262
Finland,FIN,0.25,0,0.66,0.66,0.66,0,0,0,0,0,0,0,0,0,10,9.532465935,9.565243721,10,7.752978325,9.560975075,86,63.9188147034124
France,FRA,1,1,1,1,1,0.85,0.8,1,1,0.6,0,0,1,0.66,7.14164114,9.364972115,10,8.502142906,8.493712425,8.024390221,69,38.1849235823193
Germany,DEU,0.75,0,0.66,0.66,0,0,0.4,1,0,0,0,0,0,0,7.351456642,8.606048584,9.440763474,9.787858009,7.827444553,8.682927132,80,56.8460427456982
Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.858382702,9.279556274,9.549473763,6.538461208,7.072392464,6.048780441,48,39.6424619237357
Hungary,HUN,0,0,0,0,0,0.85,0,0.66,0.832,0,1,0,0,0,4.075994492,8.870732307,10,7.640714169,7.548867702,6.048780441,44,48.3934186398412
Ireland,IRL,1,1,1,1,1,0.6,1,1,0.666,0.716,1,0,1,1,8.385451317,9.62167263,9.153511047,7.422142506,7.679702282,8.902439117,74,58.1215976215141
Italy,ITA,0.75,0,1,0.66,0.66,0.3,0.8,0.16,0,0.432,0,1,0,0,5.740287304,8.671274185,10,8.926428795,6.581578255,7.475609779,53,22.1925858303397
Latvia,LVA,0.25,0,0,0,0.66,1,0.4,0.66,0,0,1,0,0,0,5.293339729,9.460505486,9.709494591,8.071428299,6.729045868,8.024390221,56,23.9407668132642
Lithuania,LTU,1,1,1,1,1,1,0.8,1,0.666,0.832,0,1,0,0.66,6.038693905,9.517821312,9.900606155,5.93071413,7.159882545,8.573170662,60,40.7248459410706
Luxemburg,LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.105939865,8.975168228,10,8.071428299,8.64840889,9.341463089,80,78.0171007884326
Netherlands,NLD,0.75,0,0.66,0.33,0.66,0.6,0,0.16,0,0,0,0.33,0,0,9.351513863,9.53705883,10,8.158461571,8.915634155,9.670731544,82,61.6572239633327
Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.974975586,9.69877243,9.720061302,10,9.281887054,10,84,59.7987006273954
Poland,POL,1,1,1,0.66,0.66,1,0.4,1,0,0,1,0,0.33,1,3.524442911,8.513726234,10,7.640714169,6.010304451,7.146341324,58,49.7986028419138
Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.561984062,9.013485909,10,7.640714169,7.544517517,9.012194633,62,43.5605003837812
Slovakia,SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.681139946,8.515444756,10,9.151428223,7.480638504,8.024390221,50,23.097283281603
Slovenia,SVN,1,1,1,0.66,0.66,1,0.4,1,0.832,0.7,0,1,0.33,1,4.878690243,9.365332603,10,9.357142448,6.957054138,8.353658676,60,39.7150714930083
Spain,ESP,0.75,0,0.66,1,0.66,0,0,0,0.832,0,0,0,0,0,5.971572399,8.933187485,10,8.714285851,7.43933773,7.804878235,62,36.7785864601752
Sweden,SWE,0.25,0,0,0,0.66,0,0,0,0.666,0,0,0,0,0,8.324745178,9.53907299,9.932059288,7.434999943,8.787488937,9.670731544,85,51.3281754260437
Switzerland,CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.318490028,9.025756836,9.751987457,8.071428299,8.578970909,9.451219559,85,80.6612709030345
United Kingdom,GBR,1,1,1,1,0.66,0.2,0.8,0.66,0.832,0.408,1,0,0.33,1,7.604174137,9.570790291,9.558707237,8.932857513,9.208423615,8.13414669,77,34.0828862506267